conia_date,conia_value,headline_yy,core_yy,inflation_month,inflation_published_date,fetched_at
2026-03-25,0.180000,0.1340,0.1270,2026-03,2026-03-25,2026-03-25T12:55:49.141061
2026-03-26,0.250000,0.1340,0.1270,2026-03,2026-03-27,2026-03-27T14:04:08.290588
2026-04-06,0.197300,0.1340,0.1270,2026-04,2026-04-06,2026-04-06T22:35:03.387259
2026-04-22,0.210000,0.1340,0.1270,2026-04,2026-04-22,2026-04-22T21:05:37.929674
