mean_reward,total_reward,loss,actor_loss,value_loss
0.2322382157103099,14.631007589749522,0.05105047454126179,-0.12341155977919697,0.3545562444254756
0.23160983978376734,14.591419906377343,-0.10789034953340888,-0.12788317389786244,0.04630825072526932
0.2267930807830289,14.28796408933082,-0.10897578559815883,-0.11854199506342411,0.026399913989007474
0.2617583475925141,16.490775898328387,-0.12384100006893277,-0.12927421992644667,0.019464099407196046
0.2835935134364305,17.866391346495124,-0.10738693955354392,-0.11353358598425985,0.022099402314051986
0.3396968456129579,21.400901273616345,-0.11114226086065174,-0.11535486690700054,0.019701256044209005
0.3126439965287829,19.69657178131332,-0.11281756926327943,-0.11608508694916964,0.02004162883386016
0.3367997341127326,21.218383249102153,-0.1196500424761325,-0.12190103121101856,0.020126729365438224
0.35602833017987123,22.429784801331888,-0.12104060763958842,-0.11786809819750488,0.01130298434291035
0.3631695178237444,22.879679622895896,-0.10870612319558859,-0.1136240592226386,0.02954117036424577
0.3775010885299401,23.782568577386225,-0.1276623148471117,-0.1264468889683485,0.018830215046182274
0.39923163056421235,25.151592725545378,-0.12937852838076652,-0.12719151889905334,0.01996232382953167
0.41590566410163304,26.202056838402882,-0.12586821634322404,-0.11892031375318765,0.013909875135868787
0.4127560507860222,26.003631199519397,-0.12808389007113874,-0.12417330923490226,0.02299803728237748
0.45435608958172474,28.624433643648658,-0.1349025889765471,-0.12641090196557342,0.01676469328813255
0.47670657675247674,30.032514335406034,-0.13015955938026308,-0.12045984417200088,0.017663335986435415
0.4891263669096226,30.81496111530622,-0.13729690806940198,-0.12467414494603872,0.015434205392375588
0.48466535994503734,30.533917676537353,-0.1328458718024194,-0.11766378292813898,0.014774877089075744
0.5069900057670566,31.94037036332456,-0.13944392632693053,-0.12269175534602254,0.016440268186852337
0.5034760227419536,31.718989432743072,-0.1345787520520389,-0.11404624891001731,0.014303300715982913
0.5228449411605549,32.93923129311496,-0.14356953026726843,-0.12085030144080519,0.015134535869583488
0.5517687722967207,34.76143265469341,-0.15320088090375067,-0.1274403916206211,0.014969322970137
0.5656796786467497,35.63781975474523,-0.15393313039094209,-0.12933780018356628,0.021339700371026993
0.5443327713112449,34.29296459260843,-0.16299682892858983,-0.13199875131249428,0.013782296096906066
0.5474706242490225,34.490649327688416,-0.15702943429350852,-0.1240892143920064,0.01558389705605805
0.5572935908609281,35.10949622423847,-0.1544846199452877,-0.11981396395713091,0.015016708755865693
0.5883504433444996,37.06607793070347,-0.15568739119917155,-0.11544493853580207,0.013392842351458966
0.5905787577799115,37.20646174013443,-0.174527976103127,-0.1297503117006272,0.01258001448586583
0.5875783771122522,37.01743775807189,-0.17512741964310408,-0.12510179160162807,0.013919461402110755
0.5769185076978197,36.34586598496264,-0.18402809277176857,-0.12702517760917545,0.009690396278165281
0.5924040307561823,37.32145393763948,-0.18510273918509484,-0.12335988208651542,0.013129030633717776
0.595691221622754,37.528546962233506,-0.19638136196881534,-0.12966418638825417,0.01760560292750597
0.598049061934951,37.67709090190191,-0.19274626299738884,-0.117265997081995,0.014545695250853896
0.5973370015235775,37.63223109598538,-0.20180912781506777,-0.11926462384872139,0.013774171331897378
0.5935463655376545,37.39342102887223,-0.21681272834539414,-0.1283582994248718,0.013150205742567778
0.5871032988277837,36.98750782615037,-0.21277234964072705,-0.12178664760431275,0.019632672099396585
0.6021325046627035,37.93434779375032,-0.22402726635336875,-0.12217812282033265,0.012496062787249684
0.5991618243821827,37.747194936077506,-0.23583628740161658,-0.1214604829903692,0.012742969417013228
0.6120612003525175,38.5598556222086,-0.24341709800064565,-0.1203658364713192,0.013188145100139081
