,ABUK,ADIB,ALCN,AMOC,ARCC,ASPI,BINV,BTFH,CCAP,CICH,CIEB,CIRA,CLHO,COMI,DSCW,EAST,EFID,EFIH,EGAL,EGCH,EGTS,EMFD,ETEL,EXPA,FAIT,FAITA,FWRY,GBCO,GDWA,HDBK,HELI,HRHO,IRON,ISPH,JUFO,MASR,MCQE,MFPC,MTIE,OCDI,OFH,OIH,ORAS,ORHD,ORWE,PHAR,PHDC,PRDC,QNBE,RAYA,RMDA,SKPC,SPMD,SUGR,SWDY,TALM,TMGH,VLMR,VLMRA
2019-10-01,0.3496154,0.21852162,,0.37224618,0.36967894,,,0.34257975,0.30058607,,,,,0.1549987,,0.19692124,0.41895092,,0.45469055,0.24743968,,0.22855048,0.15186349,,,,0.18192358,0.43263456,,,0.24028994,0.17777714,0.46753386,0.16938038,0.19931373,,0.28237984,,,,,0.30259156,0.22981165,0.29844764,0.18466718,,0.24609531,,,0.3418259,,,,,,,0.25322494,0.14298932,
2019-10-31,0.27147293,0.19351552,,0.44331455,0.27823144,,,0.44120282,0.20761144,,,,,0.16362393,,0.20287797,0.32991704,,0.38049343,0.29645675,,0.26912305,0.19893843,,,,0.17640078,0.31570882,,,0.1809981,0.20286651,0.295629,0.19893691,0.21277966,,0.27992365,,,,,0.16879798,0.2245741,0.18235363,0.1625609,,0.19854923,,,0.3703863,,,,,,,0.18265116,0.19912794,
2019-12-02,0.21701434,0.23448701,,0.27606952,0.4772067,,,0.6305309,0.4127474,,,,,0.14705607,,0.20356017,0.30195707,,0.4115,0.30520773,,0.20606606,0.16998811,,,,0.29310134,0.22800355,,,0.19501424,0.24096178,0.28635982,0.4158602,0.30121148,,0.28943086,,,,,0.18428977,0.13192986,0.3184669,0.18912324,,0.24261287,,,0.21675879,10.143922,,,,,,0.23884352,0.13303472,
2019-12-31,0.33550626,0.4275675,,0.47497052,0.50711876,,,0.418072,0.40372545,,,0.11133625,,0.18171036,,0.17926921,0.23436426,,0.5191331,0.4205083,0.4234459,0.3809268,0.6260962,0.29027745,,,0.31545302,0.40580177,,0.2723621,0.3769099,0.28548646,0.6089809,0.22979333,0.31869832,,0.36493796,0.1976536,,0.44900408,,0.29691318,0.27281427,0.4182048,0.22574845,,0.4618338,,0.16690138,0.5101197,0.3582511,,0.2804854,,0.3025843,,0.34245503,0.31333652,
2020-02-02,0.34945485,0.22380652,0.3887858,0.40872195,0.36602402,0.39024523,0.15229943,0.53957695,0.45596763,0.2933374,0.21225007,0.12025409,0.39708966,0.21217045,0.5525362,0.3266225,0.05817462,,0.46129808,0.42090935,0.43938366,0.29368973,0.6294559,0.30399194,,0.13474417,0.354199,0.5160361,,0.25101054,0.6593394,0.41042605,0.596699,0.29240695,0.20982747,0.341257,0.36716282,0.42013067,0.2534431,0.44185686,,0.40292546,0.25126433,0.617016,0.21094228,0.17385916,0.38912264,,0.3608584,0.5633699,0.16672443,0.3823423,0.56114185,0.45073768,0.3590373,,0.33462453,0.2263397,
2020-03-02,0.8102228,0.7193681,0.699971,0.96009463,1.0653704,0.7609315,0.49310502,0.9429447,0.97339416,0.76299596,0.62339306,0.53208697,0.7115959,0.66836363,0.813266,0.7614792,0.61532545,,0.8948518,0.97109,1.053693,0.62189454,0.8361045,0.54541653,,0.22519533,0.5463423,0.78582907,,0.81940925,0.87911063,0.87916374,0.8140189,0.563156,0.6241983,0.7327123,0.85360307,1.0984607,0.6190057,0.9247853,,0.69415706,0.8378281,0.9062416,0.6587176,0.45867854,0.85423326,,0.38964647,0.46338195,0.57095903,0.7522058,0.59881866,0.862163,0.9669182,,0.86665356,0.6755008,
2020-04-01,0.4282402,0.34188733,0.46176618,0.50699323,0.36418903,0.59093946,0.4674029,0.7764405,0.4291287,0.67997783,0.4434094,0.48226547,0.37502354,0.43315715,0.8692238,0.18528286,0.6051068,,0.4789327,0.51230276,0.5589827,0.39138156,0.48191714,0.36138156,,0.33284104,0.27143928,0.6543164,,0.329855,0.62405324,0.5901373,0.6243471,0.36768985,0.6522961,0.48907772,0.5443469,0.28888354,0.48832753,0.40094692,,0.49763983,0.40898436,0.6081124,0.32140192,0.3053824,0.52537996,,0.13517824,0.3762114,0.29962525,0.5709528,0.43023688,0.38575986,0.50860494,,0.45637384,0.35328645,
2020-05-04,0.516129,0.42983273,0.29511398,0.5122069,0.381495,0.51879054,0.38788122,0.6010058,0.5213645,0.45397094,0.43354473,0.16295281,0.4675167,0.2795231,0.7782345,0.39639115,0.35617787,,0.5203582,0.48884517,0.51970005,0.39669716,0.36405602,0.35128292,,0.25336844,0.31888753,0.45957047,,0.3441112,0.42994088,0.5048221,0.53793395,0.28748566,0.29081547,0.40741175,0.58706564,0.50762695,0.3740286,0.3516415,,0.39086342,0.23437597,0.4231943,0.2452487,0.27640864,0.39442977,,2.3744047,0.35948324,0.26077527,0.44627956,0.46966302,0.49013165,0.4912115,,0.3700077,0.28461847,
2020-06-09,0.2893281,0.23708051,0.4149004,0.34817773,0.38993654,0.390526,0.36599225,0.5953867,0.2904178,0.3922482,0.23062141,0.36042663,0.33721647,0.22121759,0.36899525,0.27635235,0.41167188,,0.6943879,0.31077468,0.39032513,0.25884083,0.25995922,0.28841388,,0.10028778,0.6154267,0.49678627,,0.3484353,0.3682125,0.36366624,1.1183753,0.21219502,0.2559401,0.37964594,0.58853275,0.49306515,0.31882885,0.45383495,,0.3080463,0.26465085,0.40404302,0.24916452,0.252461,0.3244206,,0.17896205,0.2640856,0.72535855,0.3194364,0.38900512,0.33731338,0.35388485,,0.3987637,0.21426654,
2020-07-12,0.45222247,0.36422542,0.40304166,0.38905752,0.4389836,0.3476771,0.4757411,0.5754212,0.39203098,0.44919482,0.21039583,0.20527716,0.29657522,0.23615137,0.56397605,0.23232049,0.34162384,,0.5595765,0.3947825,0.42117032,0.31920826,0.19519797,0.42359698,,0.17207845,0.527354,0.4269321,,0.3917182,0.34964696,0.39507574,0.67592764,0.32403865,0.36651614,0.41518444,0.506484,0.5392355,0.18605453,0.3989499,,0.5662722,0.22305952,0.411426,0.24603759,0.33706835,0.42907533,,0.14487751,0.5213456,0.4448601,0.39459878,0.4179681,0.38559604,0.29013982,,0.31540093,0.18818682,
2020-08-16,0.38612342,0.25175792,0.33508244,0.45491397,0.54201776,0.28546542,0.755148,0.44664845,0.34944606,0.297671,0.22808339,0.2645756,0.22923891,0.13771102,0.53572685,0.20506364,0.4697397,,0.36392984,0.36888418,0.36243632,0.26433018,0.41266176,0.28198096,,0.07978527,0.5864686,0.3613086,,0.32013342,0.2546144,0.2274707,0.5970879,0.15617354,0.35032067,0.268243,0.33708894,0.3301879,0.59533423,0.24686106,,0.30168325,0.3057928,0.43348527,0.20840584,0.14996056,0.2694636,,0.21123192,0.46585724,0.2933782,0.4778786,0.46816278,0.46970704,0.2826675,,0.35052568,0.20287335,
2020-09-15,0.3108733,0.28157622,0.21546338,0.3282111,0.2961982,0.27786812,0.66790396,0.43682647,0.2738963,0.2666936,0.13236913,0.24363704,0.19626375,0.10856786,0.29009196,0.2253773,0.2962835,,0.45298848,0.3041465,0.2537696,0.24824041,0.17991982,0.3975671,,0.09457494,0.29437107,0.49881548,,0.15451883,0.40247163,0.26239482,0.8101785,0.25513467,0.2328157,0.453599,0.37658018,0.2000368,0.29495993,0.28103423,,0.28131634,0.22171411,0.2677991,0.35033464,0.16768119,0.24479261,,0.2118017,0.5622257,0.2774093,0.3733126,0.5083858,0.44392008,0.30177957,,0.22228506,0.10474478,
2020-10-15,0.3627266,0.3070626,0.20776121,0.28990382,0.38100716,0.31410283,0.5272164,0.4737588,0.33222273,0.37949255,0.15202843,0.26415017,0.2717824,0.29749316,0.5217448,0.48404637,0.09764212,,0.33661354,0.36876237,0.3297312,0.2341467,0.22474067,0.39231226,,0.09111,0.5253111,0.4642536,,0.48477095,0.2765406,0.32178798,0.62701076,0.26437336,0.23317306,0.34787205,0.31353182,0.3087393,0.28894562,0.37375507,,0.3274381,0.28994393,0.6563836,0.37153304,0.17920731,0.2464579,,0.29098558,0.3986094,0.25217077,0.3761592,0.47083557,0.34430942,0.31770316,,0.29031485,0.09553332,
2020-11-16,0.32589576,0.31047764,0.20648168,0.38625807,0.28335488,0.17081583,0.17958494,0.29474366,0.24664968,0.17725185,0.13244258,0.1665143,0.12349964,0.100200415,0.7078388,0.2833203,0.23989893,,0.26657844,0.39924937,0.30826592,0.3120299,0.18247716,0.37081462,,0.05133256,0.24417803,0.33156896,,0.15574026,0.33704242,0.19639191,0.39665756,0.35546005,0.36601764,0.21302854,0.46084294,0.3133482,0.15705101,0.3357444,,0.3607176,0.23276213,0.41989943,0.28322673,0.19216439,0.20144178,,0.18368818,0.35345185,0.37022534,0.24472396,0.5329425,0.17529652,0.26569727,,0.28383413,0.13764226,
2020-12-15,0.31523654,0.29975063,0.36317474,0.51774603,0.4372197,0.33789602,0.32334656,0.5100644,0.42766824,0.26852977,0.34642836,0.21382251,0.3670921,0.17659608,0.6109441,0.18174632,0.28686827,,0.4727469,0.44918755,0.35073903,0.32071614,0.27032462,0.41053647,,0.121874936,0.4457136,0.48024997,,0.40040717,0.29771304,0.33729115,0.65499514,0.2476234,0.4213378,0.2757383,0.43308172,0.75706923,0.43175414,0.33391315,,0.4198361,0.22534363,0.47379655,0.2919712,0.20058398,0.32353672,,0.42371953,0.7875008,0.34605753,0.5167285,0.47243428,0.3341179,0.36174878,,0.2820375,0.21178429,
2021-01-14,0.34175882,0.18414746,0.23232827,0.2213397,0.25585762,0.4364133,0.32149148,0.36380574,0.20154122,0.44247672,0.15266752,0.17820694,0.30758604,0.12799327,0.56492436,0.26809174,0.14598282,,0.34712237,0.23711011,0.34932673,0.27194217,0.097241744,0.17823061,,0.2372791,0.35302144,0.2906645,,0.25227955,0.17133306,0.15555201,0.8326672,0.21334027,0.47046894,0.20564692,0.33818468,0.2617091,0.34994802,0.144384,,0.39932021,0.34950638,0.3315483,0.10955758,0.27049008,0.31151938,,0.19817588,1.0957495,0.2601695,0.17557223,0.6287289,0.55516845,0.17648661,,0.21814413,0.22814716,
2021-02-15,0.29444835,0.22725536,0.2271438,0.3803607,0.23754853,0.4248737,0.7840165,0.37388405,0.2223878,0.27527127,0.18928085,0.24554433,0.25678933,0.17927147,0.6287309,0.21442327,0.13944337,,0.4004306,0.33776757,0.28145212,0.22904287,0.16865046,0.16576618,,0.20749216,0.45028242,0.3189306,,0.18203253,0.28056797,0.12711398,0.6083429,0.3370844,0.17463852,0.2568206,0.3749914,0.21946509,0.6945573,0.31909913,,0.5053479,0.08972079,0.4789241,0.22279501,0.2373881,0.22770564,,0.23455364,0.69415414,0.16253757,0.3937745,0.66024166,0.7452385,0.18385772,,0.1591084,0.18068473,
2021-03-16,0.37364045,0.21648903,0.4539821,0.6823973,0.6661075,0.47516775,0.54728496,0.6662981,0.4446157,0.6139461,0.18840922,0.35300678,0.34778473,0.20699951,0.73227835,0.561241,0.230966,,0.50435925,0.51449144,0.3950124,0.1957616,0.26113835,0.35326508,,0.21610232,0.42283547,0.48465738,,0.39225823,0.4687528,0.16602206,0.4480953,0.3848737,0.21379158,0.21551824,0.59625965,0.30302006,0.45553735,0.19903247,,0.40126228,0.1361935,0.3102403,0.24463925,0.28980672,0.2524878,,0.21588941,0.9504363,0.3938591,0.28250656,0.8109991,0.5878568,0.3359885,,0.1822858,0.1605623,
