semiannual_start,ticker,rl_risk_score,risk_profile,split
2018-07-10,ABUK,-0.9598786433537801,conservative,train
2018-07-10,ADIB,1.1769022556642692,balanced,train
2018-07-10,ALCN,-2.552352329095205,conservative,train
2018-07-10,AMOC,-1.0038859645525615,conservative,train
2018-07-10,ARAB,2.69203774134318,aggressive,train
2018-07-10,ARCC,0.8893640637397766,balanced,train
2018-07-10,ASPI,2.885189096132914,aggressive,train
2018-07-10,BINV,2.311262567838033,aggressive,train
2018-07-10,BTFH,2.832898815472921,aggressive,train
2018-07-10,CCAP,2.656470020612081,aggressive,train
2018-07-10,CICH,-0.6949819574753443,balanced,train
2018-07-10,CIEB,-3.042461633682251,conservative,train
2018-07-10,CIRA,0.9321293234825134,balanced,train
2018-07-10,CLHO,-0.47810784975687665,balanced,train
2018-07-10,COMI,-2.921705683072408,conservative,train
2018-07-10,DSCW,1.1859061817328136,balanced,train
2018-07-10,EAST,-0.6050519247849783,balanced,train
2018-07-10,EFID,-1.1232051153977711,conservative,train
2018-07-10,EFIH,,,train
2018-07-10,EGAL,1.9650902549425762,balanced,train
2018-07-10,EGCH,2.787009119987488,aggressive,train
2018-07-10,EGTS,2.778276960055033,aggressive,train
2018-07-10,EMFD,2.400555908679962,aggressive,train
2018-07-10,ETEL,-1.6086012224356334,conservative,train
2018-07-10,EXPA,-1.4300284485022228,conservative,train
2018-07-10,FAIT,-2.4838773608207703,conservative,train
2018-07-10,FAITA,-3.0293438831965127,conservative,train
2018-07-10,FWRY,,,train
2018-07-10,GBCO,2.0387251377105713,aggressive,train
2018-07-10,GDWA,,,train
2018-07-10,HDBK,-2.096611221631368,conservative,train
2018-07-10,HELI,2.327577064434687,aggressive,train
2018-07-10,HRHO,-0.34161264697710675,balanced,train
2018-07-10,IRON,2.9016033013661704,aggressive,train
2018-07-10,ISPH,1.7725546061992645,balanced,train
2018-07-10,JUFO,-2.1367074251174927,conservative,train
2018-07-10,MASR,2.1176228721936545,aggressive,train
2018-07-10,MCQE,1.0519074598948162,balanced,train
2018-07-10,MFPC,-1.0396580795447032,conservative,train
2018-07-10,MTIE,1.1283657650152843,balanced,train
2018-07-10,OCDI,2.862815181414286,aggressive,train
2018-07-10,OFH,,,train
2018-07-10,OIH,2.0123499830563865,aggressive,train
2018-07-10,ORAS,-2.638318141301473,conservative,train
2018-07-10,ORHD,2.8988144397735596,aggressive,train
