period_start,spearman_rho,n_valid_tickers,split
2018-07-10,0.788000572872899,51,train
2019-01-20,0.7558660666942772,52,train
2019-07-30,0.8186348187968884,53,train
2020-02-02,0.8643898491541618,54,train
2020-08-16,0.8236441996990835,54,train
2021-02-15,0.8342119817742187,56,train
2021-08-26,0.8050350374382442,60,train
2022-02-24,0.815643112602145,60,train
2022-09-07,0.6223404096155095,60,train
2023-03-08,0.6411992099068886,60,train
2024-01-02,0.7991416623471884,60,test
2024-07-18,0.7060263359085042,60,test
2025-01-19,0.8451099880574249,60,test
2025-08-04,0.4573259070659426,60,test
